name,concatenated,topic,region,number,requesting organization,organization_name
MapPH Bukindon South,MapSwipe - Bukindon South (1) MapPH,MapSwipe,Bukindon South,1,MapPH,
Indonesia,MapSwipe - Indonesia (1) MapSwipe,MapSwipe,Indonesia,1,MapSwipe,
MapPH Bukindon South,MapSwipe - Bukindon South (1) MapPH,MapSwipe,Bukindon South,1,MapPH,
HOT Columbia Narino South,MapSwipe - Columbia Narino South (1) HOT,MapSwipe,Columbia Narino South,1,HOT,
Health MSF Chad 2,Health - Chad (2) MSF,Health,Chad,2,MSF,
BRC Indonesia 3,MapSwipe - Indonesia (3) BRC,MapSwipe,Indonesia,3,BRC,
BRC Indonesia 4,MapSwipe - Indonesia (4) BRC,MapSwipe,Indonesia,4,BRC,
BRC Indonesia 5,MapSwipe - Indonesia (5) BRC,MapSwipe,Indonesia,5,BRC,
BRC Indonesia 6,MapSwipe - Indonesia (6) BRC,MapSwipe,Indonesia,6,BRC,
Costa Colombia (1),MapSwipe - Colombia (1) MapSwipe,MapSwipe,Colombia,1,MapSwipe,
Costa Colombia (2),MapSwipe - Colombia (2) MapSwipe,MapSwipe,Colombia,2,MapSwipe,
Costa Colombia (3),MapSwipe - Colombia (3) MapSwipe,MapSwipe,Colombia,3,MapSwipe,
Costa Colombia (4),MapSwipe - Colombia (4) MapSwipe,MapSwipe,Colombia,4,MapSwipe,
"Niger State, Nigeria (part 1)","MapSwipe - Niger State, Nigeria (1) MapSwipe",MapSwipe,"Niger State, Nigeria",1,MapSwipe,
"Niger State, Nigeria (part 3)","MapSwipe - Niger State, Nigeria (3) MapSwipe",MapSwipe,"Niger State, Nigeria",3,MapSwipe,
MapSwipe Madagascar 5,MapSwipe - Madagascar (5) MapSwipe,MapSwipe,Madagascar,5,MapSwipe,
"Niger State, Nigeria (part 6)","MapSwipe - Niger State, Nigeria (6) MapSwipe",MapSwipe,"Niger State, Nigeria",6,MapSwipe,
MapSwipe Nigeria for MSF 7,MapSwipe - Nigeria (7) MSF,MapSwipe,Nigeria,7,MSF,
Eliminate Malaria: Laos 3,Eliminate Malaria - Laos (3) MapSwipe,Eliminate Malaria,Laos,3,MapSwipe,
Eliminate Malaria: Laos 8,Eliminate Malaria - Laos (8) MapSwipe,Eliminate Malaria,Laos,8,MapSwipe,
Support demining effort: Chad,Support demining effort - Chad (1) MapSwipe,Support demining effort,Chad,1,MapSwipe,
MapSwipe Madagascar,MapSwipe - Madagascar (1) MapSwipe,MapSwipe,Madagascar,1,MapSwipe,
